River,Species,Presence
Evas Kill,polygonum_punctatum,1
Kennyetto Creek,polygonum_punctatum,1
Quacken Kill,polygonum_punctatum,1
Beaver Kill,polygonum_sagittatum,1
Cadman Creek,polygonum_sagittatum,1
Daly Creek,polygonum_sagittatum,1
Fawn Lake,polygonum_sagittatum,1
Indian Brook,polygonum_sagittatum,1
New Pond Brook,polygonum_sagittatum,1
North Branch West Stony Creek,polygonum_sagittatum,1
Potic Creek,polygonum_sagittatum,1
Saw Kill,polygonum_sagittatum,1
Sherriff Lake Outlet,polygonum_sagittatum,1
Alplaus Kill,polygonum_virginianum,1
Indian Kill,polygonum_virginianum,1
Kennyetto Creek,polygonum_virginianum,1
Kinderhook Creek,polygonum_virginianum,1
Lansing Kill,polygonum_virginianum,1
Snook Kill,polygonum_virginianum,1
Bullhead Pond Brook,polystichum_acrostichoides,1
Indian Kill,polystichum_acrostichoides,1
Ballston Creek,populus_deltoides,1
Cadman Creek,populus_deltoides,1
Cobleskill Creek,populus_deltoides,1
Evas Kill,populus_deltoides,1
Fishkill Creek,populus_deltoides,1
Kayaderosseras Creek,populus_deltoides,1
Keyser Kill,populus_deltoides,1
Plotter Kill,populus_deltoides,1
Quacken Kill,populus_deltoides,1
Big Brook,potentilla_simplex,1
Cedar River,potentilla_simplex,1
Four Mile Brook,potentilla_simplex,1
Hans Creek,potentilla_simplex,1
Keyser Kill,potentilla_simplex,1
New Pond Brook,potentilla_simplex,1
North Branch West Stony Creek,potentilla_simplex,1
Paragon Brook,potentilla_simplex,1
Roeliff Jansen Kill,potentilla_simplex,1
Stewart Creek,potentilla_simplex,1
Stony Creek,potentilla_simplex,1
Bullhead Pond Brook,prenanthes_alba,1
Big Brook,prunella_vulgaris,1
Boreas River,prunella_vulgaris,1
Cedar River,prunella_vulgaris,1
Daly Creek,prunella_vulgaris,1
Evas Kill,prunella_vulgaris,1
Four Mile Brook,prunella_vulgaris,1
Hans Creek,prunella_vulgaris,1
Hudson River,prunella_vulgaris,1
Indian Kill,prunella_vulgaris,1
Kayaderosseras Creek,prunella_vulgaris,1
Keyser Kill,prunella_vulgaris,1
Kinderhook Creek,prunella_vulgaris,1
Mill Creek,prunella_vulgaris,1
Paragon Brook,prunella_vulgaris,1
Potic Creek,prunella_vulgaris,1
Sprout Creek,prunella_vulgaris,1
Sterling Creek,prunella_vulgaris,1
Stony Creek,prunella_vulgaris,1
Timmerman Creek,prunella_vulgaris,1
Wappinger Creek,prunella_vulgaris,1
Wharton Hollow Creek,prunella_vulgaris,1
Chester Creek,prunus_americana,1
Cadman Creek,prunus_serotina,1
Lansing Kill,prunus_serotina,1
Snook Kill,prunus_serotina,1
Battenkill,prunus_virginiana,1
Big Brook,prunus_virginiana,1
Hans Creek,prunus_virginiana,1
Kennyetto Creek,prunus_virginiana,1
Mill Creek,prunus_virginiana,1
Minots Corner Road,prunus_virginiana,1
Mohawk River,prunus_virginiana,1
New Pond Brook,prunus_virginiana,1
North Branch West Stony Creek,prunus_virginiana,1
Stewart Creek,prunus_virginiana,1
Trout Brook,prunus_virginiana,1
Valatie Kill,prunus_virginiana,1
North Branch West Stony Creek,pteridium_aquilinum,1
Stony Creek,quercus_alba,1
Hans Creek,quercus_velutina,1
Fawn Lake,ranunculus_pensylvanicus,1
Indian Brook,ranunculus_pensylvanicus,1
Wharton Hollow Creek,ranunculus_pensylvanicus,1
Roeliff Jansen Kill,ranunculus_recurvatus,1
