Species,Trait,Value
Cynodon dactylon,Stem dry mass per plant,0.3
Dactylis glomerata,Stem dry mass per plant,6.92
Daucus carota,Stem dry mass per plant,1.55
Daucus carota,Stem dry mass per plant,2.03
Daucus carota,Stem dry mass per plant,2.14
Daucus carota,Stem dry mass per plant,2.35
Daucus carota,Stem dry mass per plant,4.93
Daucus carota,Stem dry mass per plant,6.67
Erigeron annuus,Stem dry mass per plant,0.47
Erigeron annuus,Stem dry mass per plant,0.83
Erigeron annuus,Stem dry mass per plant,2.22
Erigeron annuus,Stem dry mass per plant,6.93
Erigeron annuus,Stem dry mass per plant,8.63
Eupatorium perfoliatum,Stem dry mass per plant,4.34
Eupatorium perfoliatum,Stem dry mass per plant,5.62
Eupatorium perfoliatum,Stem dry mass per plant,6.21
Eupatorium perfoliatum,Stem dry mass per plant,6.7
Eupatorium perfoliatum,Stem dry mass per plant,8.7
Galium palustre,Stem dry mass per plant,0.02
Galium palustre,Stem dry mass per plant,0.02
Galium palustre,Stem dry mass per plant,0.03
Galium palustre,Stem dry mass per plant,0.05
Galium palustre,Stem dry mass per plant,0.1
Hypericum perforatum,Stem dry mass per plant,1.45
Hypericum perforatum,Stem dry mass per plant,1.76
Hypericum perforatum,Stem dry mass per plant,2.72
Hypericum perforatum,Stem dry mass per plant,4.75
Hypericum perforatum,Stem dry mass per plant,7.01
Impatiens capensis,Stem dry mass per plant,2.54
Impatiens capensis,Stem dry mass per plant,4.16
Impatiens capensis,Stem dry mass per plant,6.42
Impatiens capensis,Stem dry mass per plant,11.38
Impatiens capensis,Stem dry mass per plant,11.82
Linaria vulgaris,Stem dry mass per plant,1.2153
Linaria vulgaris,Stem dry mass per plant,1.4309
Linaria vulgaris,Stem dry mass per plant,1.7609
Linaria vulgaris,Stem dry mass per plant,2.1286
Linaria vulgaris,Stem dry mass per plant,4.1891
Lotus corniculatus,Stem dry mass per plant,1.5564
Lotus corniculatus,Stem dry mass per plant,1.8734
Lotus corniculatus,Stem dry mass per plant,1.973
Lotus corniculatus,Stem dry mass per plant,3.61
Lotus corniculatus,Stem dry mass per plant,5.95
Lythrum salicaria,Stem dry mass per plant,1.67
Lythrum salicaria,Stem dry mass per plant,2.63
Lythrum salicaria,Stem dry mass per plant,4.96
Lythrum salicaria,Stem dry mass per plant,7.24
Lythrum salicaria,Stem dry mass per plant,13.98
Maianthemum canadense,Stem dry mass per plant,0.03
Maianthemum canadense,Stem dry mass per plant,0.04
Maianthemum canadense,Stem dry mass per plant,0.05
Maianthemum canadense,Stem dry mass per plant,0.05
Maianthemum canadense,Stem dry mass per plant,0.06
Matteuccia struthiopteris,Stem dry mass per plant,2.8402
Matteuccia struthiopteris,Stem dry mass per plant,2.9052
Matteuccia struthiopteris,Stem dry mass per plant,3.4197
Matteuccia struthiopteris,Stem dry mass per plant,4.3474
Matteuccia struthiopteris,Stem dry mass per plant,6.56
Oenothera biennis,Stem dry mass per plant,3.12
Oenothera biennis,Stem dry mass per plant,3.54
Oenothera biennis,Stem dry mass per plant,5.28
Oenothera biennis,Stem dry mass per plant,6.58
Oenothera biennis,Stem dry mass per plant,7.93
Onoclea sensibilis,Stem dry mass per plant,1.74
Onoclea sensibilis,Stem dry mass per plant,2.15
Onoclea sensibilis,Stem dry mass per plant,2.18
Onoclea sensibilis,Stem dry mass per plant,2.98
Onoclea sensibilis,Stem dry mass per plant,7.76
Oxalis stricta,Stem dry mass per plant,0.07
Oxalis stricta,Stem dry mass per plant,0.09
Oxalis stricta,Stem dry mass per plant,0.09
Oxalis stricta,Stem dry mass per plant,0.21
Oxalis stricta,Stem dry mass per plant,0.34
Panicum capillare,Stem dry mass per plant,0.24
Panicum capillare,Stem dry mass per plant,0.38
Panicum capillare,Stem dry mass per plant,0.5156
Panicum capillare,Stem dry mass per plant,0.6851
Panicum capillare,Stem dry mass per plant,0.7003
Panicum capillare,Stem dry mass per plant,0.766
Panicum capillare,Stem dry mass per plant,0.88
Panicum capillare,Stem dry mass per plant,0.9469
Panicum capillare,Stem dry mass per plant,2.54
Panicum capillare,Stem dry mass per plant,2.75
Phalaris arundinacea,Stem dry mass per plant,3.27
Phalaris arundinacea,Stem dry mass per plant,3.33
Phalaris arundinacea,Stem dry mass per plant,3.34
Phalaris arundinacea,Stem dry mass per plant,3.6
Phalaris arundinacea,Stem dry mass per plant,4.01
Phleum pratense,Stem dry mass per plant,0.93
Phleum pratense,Stem dry mass per plant,0.96
Phleum pratense,Stem dry mass per plant,1.07
Phleum pratense,Stem dry mass per plant,1.16
Phleum pratense,Stem dry mass per plant,1.33
Plantago major,Stem dry mass per plant,0.53
Plantago major,Stem dry mass per plant,0.62
Plantago major,Stem dry mass per plant,0.62
Plantago major,Stem dry mass per plant,0.8
Plantago major,Stem dry mass per plant,1.06
Polygonum hydropiper,Stem dry mass per plant,6.56
Polygonum hydropiper,Stem dry mass per plant,7.2
Polygonum hydropiper,Stem dry mass per plant,12.51
Polygonum hydropiper,Stem dry mass per plant,16.34
Polygonum hydropiper,Stem dry mass per plant,18.71
Polygonum persicaria,Stem dry mass per plant,0.12
Polygonum persicaria,Stem dry mass per plant,0.3
Polygonum persicaria,Stem dry mass per plant,0.41
Polygonum persicaria,Stem dry mass per plant,0.66
Polygonum persicaria,Stem dry mass per plant,0.94
Polygonum sagittatum,Stem dry mass per plant,1.21
Polygonum sagittatum,Stem dry mass per plant,1.22
Polygonum sagittatum,Stem dry mass per plant,1.96
Polygonum sagittatum,Stem dry mass per plant,2.72
Polygonum sagittatum,Stem dry mass per plant,3.82
Rubus idaeus,Stem dry mass per plant,1.22
Rubus idaeus,Stem dry mass per plant,1.61
Rubus idaeus,Stem dry mass per plant,1.66
Rubus idaeus,Stem dry mass per plant,1.77
Rubus idaeus,Stem dry mass per plant,1.92
Scirpus atrocinctus,Stem dry mass per plant,2.5
Scirpus atrocinctus,Stem dry mass per plant,2.72
Scirpus atrocinctus,Stem dry mass per plant,2.84
Scirpus atrocinctus,Stem dry mass per plant,3.19
Scirpus atrocinctus,Stem dry mass per plant,3.33
Solidago canadensis,Stem dry mass per plant,3.47
Solidago canadensis,Stem dry mass per plant,5.22
Solidago canadensis,Stem dry mass per plant,7.72
Solidago canadensis,Stem dry mass per plant,8.92
Solidago canadensis,Stem dry mass per plant,10.94
Tanacetum vulgare,Stem dry mass per plant,1.86
Tanacetum vulgare,Stem dry mass per plant,1.9
Tanacetum vulgare,Stem dry mass per plant,2.29
Tanacetum vulgare,Stem dry mass per plant,3.67
Tanacetum vulgare,Stem dry mass per plant,3.71
Taraxacum officinale,Stem dry mass per plant,0.13
Taraxacum officinale,Stem dry mass per plant,0.34
Taraxacum officinale,Stem dry mass per plant,0.51
Taraxacum officinale,Stem dry mass per plant,0.68
Taraxacum officinale,Stem dry mass per plant,0.99
Trifolium pratense,Stem dry mass per plant,1.96
Trifolium pratense,Stem dry mass per plant,2.14
Trifolium pratense,Stem dry mass per plant,2.22
Trifolium pratense,Stem dry mass per plant,3.88
Trifolium pratense,Stem dry mass per plant,6.45
Trifolium repens,Stem dry mass per plant,0.46
Trifolium repens,Stem dry mass per plant,0.72
Trifolium repens,Stem dry mass per plant,1.09
Trifolium repens,Stem dry mass per plant,1.1
Trifolium repens,Stem dry mass per plant,1.14
Tussilago farfara,Stem dry mass per plant,2.2
Tussilago farfara,Stem dry mass per plant,4.23
Tussilago farfara,Stem dry mass per plant,5.86
Tussilago farfara,Stem dry mass per plant,7.81
Tussilago farfara,Stem dry mass per plant,8.42
Verbena hastata,Stem dry mass per plant,3.15
Verbena hastata,Stem dry mass per plant,6.49
Verbena hastata,Stem dry mass per plant,8.52
Verbena hastata,Stem dry mass per plant,10.25
Verbena hastata,Stem dry mass per plant,11.42
Acer rubrum,Stem nitrogen (N) content per dry mass,1.85
Acer saccharum,Stem nitrogen (N) content per dry mass,3.85556
Acer spicatum,Stem nitrogen (N) content per dry mass,4.44833
Achillea millefolium,Stem nitrogen (N) content per dry mass,6.30365
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.07821
Centaurea jacea,Stem nitrogen (N) content per dry mass,4.96401
Clinopodium vulgare,Stem nitrogen (N) content per dry mass,5.6056
Dactylis glomerata,Stem nitrogen (N) content per dry mass,10
Fagus grandifolia,Stem nitrogen (N) content per dry mass,3.88333
Glechoma hederacea,Stem nitrogen (N) content per dry mass,15.7645
Lotus corniculatus,Stem nitrogen (N) content per dry mass,22.85463
Petasites frigidus,Stem nitrogen (N) content per dry mass,13.05
Plantago lanceolata,Stem nitrogen (N) content per dry mass,21.13642
Plantago major,Stem nitrogen (N) content per dry mass,16.29329
Populus tremuloides,Stem nitrogen (N) content per dry mass,5.09489
Prunella vulgaris,Stem nitrogen (N) content per dry mass,5.11541
Quercus alba,Stem nitrogen (N) content per dry mass,3.19917
Rumex crispus,Stem nitrogen (N) content per dry mass,7.6056
Rumex obtusifolius,Stem nitrogen (N) content per dry mass,13.34666
Taraxacum officinale,Stem nitrogen (N) content per dry mass,15.88649
Trifolium pratense,Stem nitrogen (N) content per dry mass,16.7598
Trifolium repens,Stem nitrogen (N) content per dry mass,29.13014
Urtica dioica,Stem nitrogen (N) content per dry mass,23.1346
Populus deltoides,Stem nitrogen (N) content per dry mass,0.681
Abies balsamea,Stem nitrogen (N) content per dry mass,2
Abies balsamea,Stem nitrogen (N) content per dry mass,2.1
Abies balsamea,Stem nitrogen (N) content per dry mass,2.2
Abies balsamea,Stem nitrogen (N) content per dry mass,2.3
Abies balsamea,Stem nitrogen (N) content per dry mass,2.3
Abies balsamea,Stem nitrogen (N) content per dry mass,2.6
Abies balsamea,Stem nitrogen (N) content per dry mass,2.6
Abies balsamea,Stem nitrogen (N) content per dry mass,2.6
Abies balsamea,Stem nitrogen (N) content per dry mass,2.7
Abies balsamea,Stem nitrogen (N) content per dry mass,2.8
Abies balsamea,Stem nitrogen (N) content per dry mass,2.8
Abies balsamea,Stem nitrogen (N) content per dry mass,2.8
Abies balsamea,Stem nitrogen (N) content per dry mass,3
Abies balsamea,Stem nitrogen (N) content per dry mass,3.05
Abies balsamea,Stem nitrogen (N) content per dry mass,3.2
Abies balsamea,Stem nitrogen (N) content per dry mass,3.3
Abies balsamea,Stem nitrogen (N) content per dry mass,3.4
Abies balsamea,Stem nitrogen (N) content per dry mass,3.5
Abies balsamea,Stem nitrogen (N) content per dry mass,3.6
Abies balsamea,Stem nitrogen (N) content per dry mass,3.6
Abies balsamea,Stem nitrogen (N) content per dry mass,3.75
Abies balsamea,Stem nitrogen (N) content per dry mass,3.9
Abies balsamea,Stem nitrogen (N) content per dry mass,4
Abies balsamea,Stem nitrogen (N) content per dry mass,4.13
Abies balsamea,Stem nitrogen (N) content per dry mass,4.15
Abies balsamea,Stem nitrogen (N) content per dry mass,4.22
Abies balsamea,Stem nitrogen (N) content per dry mass,4.4
Abies balsamea,Stem nitrogen (N) content per dry mass,4.4
Abies balsamea,Stem nitrogen (N) content per dry mass,4.71
Abies balsamea,Stem nitrogen (N) content per dry mass,4.77
Abies balsamea,Stem nitrogen (N) content per dry mass,4.83
Abies balsamea,Stem nitrogen (N) content per dry mass,5
Abies balsamea,Stem nitrogen (N) content per dry mass,5.09
Abies balsamea,Stem nitrogen (N) content per dry mass,5.42
Abies balsamea,Stem nitrogen (N) content per dry mass,5.5
Acer rubrum,Stem nitrogen (N) content per dry mass,1.5
Acer rubrum,Stem nitrogen (N) content per dry mass,1.6
Acer rubrum,Stem nitrogen (N) content per dry mass,2
Acer rubrum,Stem nitrogen (N) content per dry mass,2
Acer rubrum,Stem nitrogen (N) content per dry mass,2.3
Acer rubrum,Stem nitrogen (N) content per dry mass,2.3
Acer rubrum,Stem nitrogen (N) content per dry mass,2.4
Acer rubrum,Stem nitrogen (N) content per dry mass,2.4
Acer rubrum,Stem nitrogen (N) content per dry mass,2.6
Acer rubrum,Stem nitrogen (N) content per dry mass,2.8
Acer rubrum,Stem nitrogen (N) content per dry mass,2.8
Acer rubrum,Stem nitrogen (N) content per dry mass,2.9
Acer rubrum,Stem nitrogen (N) content per dry mass,2.9
Acer rubrum,Stem nitrogen (N) content per dry mass,3.2
Acer rubrum,Stem nitrogen (N) content per dry mass,3.25
Acer rubrum,Stem nitrogen (N) content per dry mass,3.3
Acer rubrum,Stem nitrogen (N) content per dry mass,3.3
Acer rubrum,Stem nitrogen (N) content per dry mass,3.3
Acer rubrum,Stem nitrogen (N) content per dry mass,3.4
Acer rubrum,Stem nitrogen (N) content per dry mass,3.5
Acer rubrum,Stem nitrogen (N) content per dry mass,3.6
Acer rubrum,Stem nitrogen (N) content per dry mass,3.6
Acer rubrum,Stem nitrogen (N) content per dry mass,3.97
Acer rubrum,Stem nitrogen (N) content per dry mass,3.97
Acer rubrum,Stem nitrogen (N) content per dry mass,4
Acer rubrum,Stem nitrogen (N) content per dry mass,4
Acer rubrum,Stem nitrogen (N) content per dry mass,4.1
Acer rubrum,Stem nitrogen (N) content per dry mass,4.5
Acer rubrum,Stem nitrogen (N) content per dry mass,4.6
Acer rubrum,Stem nitrogen (N) content per dry mass,4.62
Acer rubrum,Stem nitrogen (N) content per dry mass,4.63
Acer rubrum,Stem nitrogen (N) content per dry mass,4.63
Acer rubrum,Stem nitrogen (N) content per dry mass,5.33
Acer rubrum,Stem nitrogen (N) content per dry mass,6.25
Acer rubrum,Stem nitrogen (N) content per dry mass,6.32
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,11.7
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,11.7
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,11.7
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,21.4
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,21.4
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,21.4
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,21.4
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,26.4
Betula alleghaniensis,Stem nitrogen (N) content per dry mass,26.4
Betula papyrifera,Stem nitrogen (N) content per dry mass,2.2
Betula papyrifera,Stem nitrogen (N) content per dry mass,2.3
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.3
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.4
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.6
Betula papyrifera,Stem nitrogen (N) content per dry mass,3.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,4
Betula papyrifera,Stem nitrogen (N) content per dry mass,4.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,4.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,5.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,5.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,7.2
Betula papyrifera,Stem nitrogen (N) content per dry mass,9.9
Betula papyrifera,Stem nitrogen (N) content per dry mass,9.9
Betula papyrifera,Stem nitrogen (N) content per dry mass,9.9
Betula papyrifera,Stem nitrogen (N) content per dry mass,9.9
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.6
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.6
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.6
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.6
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.7
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.7
Betula papyrifera,Stem nitrogen (N) content per dry mass,11.7
Betula papyrifera,Stem nitrogen (N) content per dry mass,15.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,15.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,15.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,15.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,16.4
Betula papyrifera,Stem nitrogen (N) content per dry mass,16.4
Betula papyrifera,Stem nitrogen (N) content per dry mass,16.4
Betula papyrifera,Stem nitrogen (N) content per dry mass,17.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,17.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,17.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,17.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,20.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,20.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,20.5
Betula papyrifera,Stem nitrogen (N) content per dry mass,21.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,21.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,21.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,21.8
Betula papyrifera,Stem nitrogen (N) content per dry mass,24.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,24.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,24.1
Betula papyrifera,Stem nitrogen (N) content per dry mass,26.7
Betula papyrifera,Stem nitrogen (N) content per dry mass,26.7
Betula papyrifera,Stem nitrogen (N) content per dry mass,26.7
Pinus strobus,Stem nitrogen (N) content per dry mass,0.217
Pinus strobus,Stem nitrogen (N) content per dry mass,0.224
Pinus strobus,Stem nitrogen (N) content per dry mass,0.434
Pinus strobus,Stem nitrogen (N) content per dry mass,0.476
Pinus strobus,Stem nitrogen (N) content per dry mass,0.546
Pinus strobus,Stem nitrogen (N) content per dry mass,0.588
Pinus strobus,Stem nitrogen (N) content per dry mass,0.588
Pinus strobus,Stem nitrogen (N) content per dry mass,0.588
Pinus strobus,Stem nitrogen (N) content per dry mass,0.658
Pinus strobus,Stem nitrogen (N) content per dry mass,0.658
Pinus strobus,Stem nitrogen (N) content per dry mass,0.658
Pinus strobus,Stem nitrogen (N) content per dry mass,0.7
Pinus strobus,Stem nitrogen (N) content per dry mass,0.7
Pinus strobus,Stem nitrogen (N) content per dry mass,0.938
Pinus strobus,Stem nitrogen (N) content per dry mass,0.994
Pinus strobus,Stem nitrogen (N) content per dry mass,1.12
Pinus strobus,Stem nitrogen (N) content per dry mass,1.12
Pinus strobus,Stem nitrogen (N) content per dry mass,1.4
Pinus strobus,Stem nitrogen (N) content per dry mass,1.4
Pinus strobus,Stem nitrogen (N) content per dry mass,1.456
Pinus strobus,Stem nitrogen (N) content per dry mass,1.7
Pinus strobus,Stem nitrogen (N) content per dry mass,1.8
Pinus strobus,Stem nitrogen (N) content per dry mass,1.9
Pinus strobus,Stem nitrogen (N) content per dry mass,1.9
Pinus strobus,Stem nitrogen (N) content per dry mass,1.9
Pinus strobus,Stem nitrogen (N) content per dry mass,1.95
Pinus strobus,Stem nitrogen (N) content per dry mass,2.1
Pinus strobus,Stem nitrogen (N) content per dry mass,2.3
Pinus strobus,Stem nitrogen (N) content per dry mass,2.4
Pinus strobus,Stem nitrogen (N) content per dry mass,2.5
Pinus strobus,Stem nitrogen (N) content per dry mass,2.6
Pinus strobus,Stem nitrogen (N) content per dry mass,2.6
Pinus strobus,Stem nitrogen (N) content per dry mass,2.7
Pinus strobus,Stem nitrogen (N) content per dry mass,2.7
Pinus strobus,Stem nitrogen (N) content per dry mass,2.8
Pinus strobus,Stem nitrogen (N) content per dry mass,3
Pinus strobus,Stem nitrogen (N) content per dry mass,3
Pinus strobus,Stem nitrogen (N) content per dry mass,3.15
Pinus strobus,Stem nitrogen (N) content per dry mass,3.2
Pinus strobus,Stem nitrogen (N) content per dry mass,3.2
Pinus strobus,Stem nitrogen (N) content per dry mass,3.29
Pinus strobus,Stem nitrogen (N) content per dry mass,3.3
Pinus strobus,Stem nitrogen (N) content per dry mass,3.4
Pinus strobus,Stem nitrogen (N) content per dry mass,3.4
Pinus strobus,Stem nitrogen (N) content per dry mass,3.51
Pinus strobus,Stem nitrogen (N) content per dry mass,3.69
Pinus strobus,Stem nitrogen (N) content per dry mass,3.8
Pinus strobus,Stem nitrogen (N) content per dry mass,3.8
Pinus strobus,Stem nitrogen (N) content per dry mass,4.2
Pinus strobus,Stem nitrogen (N) content per dry mass,4.5
Pinus strobus,Stem nitrogen (N) content per dry mass,5.1
Pinus strobus,Stem nitrogen (N) content per dry mass,5.434
Pinus strobus,Stem nitrogen (N) content per dry mass,7.41
Pinus strobus,Stem nitrogen (N) content per dry mass,13.3
Pinus strobus,Stem nitrogen (N) content per dry mass,13.3
Pinus strobus,Stem nitrogen (N) content per dry mass,13.3
Pinus strobus,Stem nitrogen (N) content per dry mass,13.6
Pinus strobus,Stem nitrogen (N) content per dry mass,13.6
Pinus strobus,Stem nitrogen (N) content per dry mass,13.6
Pinus strobus,Stem nitrogen (N) content per dry mass,13.6
Pinus strobus,Stem nitrogen (N) content per dry mass,13.8
Pinus strobus,Stem nitrogen (N) content per dry mass,14.3
Pinus strobus,Stem nitrogen (N) content per dry mass,14.3
Pinus strobus,Stem nitrogen (N) content per dry mass,14.3
Pinus strobus,Stem nitrogen (N) content per dry mass,14.3
Pinus strobus,Stem nitrogen (N) content per dry mass,19.7
Pinus strobus,Stem nitrogen (N) content per dry mass,19.7
Pinus strobus,Stem nitrogen (N) content per dry mass,19.7
Pinus strobus,Stem nitrogen (N) content per dry mass,19.7
Pinus strobus,Stem nitrogen (N) content per dry mass,22.7
Pinus strobus,Stem nitrogen (N) content per dry mass,22.7
Pinus strobus,Stem nitrogen (N) content per dry mass,22.7
Pinus strobus,Stem nitrogen (N) content per dry mass,22.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,9.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,9.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,9.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,9.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,10.5
Populus tremuloides,Stem nitrogen (N) content per dry mass,10.5
Populus tremuloides,Stem nitrogen (N) content per dry mass,10.5
Populus tremuloides,Stem nitrogen (N) content per dry mass,10.5
Populus tremuloides,Stem nitrogen (N) content per dry mass,11.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,11.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,11.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,11.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,14.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,14.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,14.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,14.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,23.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,23.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,23.3
Populus tremuloides,Stem nitrogen (N) content per dry mass,24.1
Populus tremuloides,Stem nitrogen (N) content per dry mass,24.1
Populus tremuloides,Stem nitrogen (N) content per dry mass,34.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,34.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,34.4
Populus tremuloides,Stem nitrogen (N) content per dry mass,36.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,36.7
Populus tremuloides,Stem nitrogen (N) content per dry mass,36.7
Thuja occidentalis,Stem nitrogen (N) content per dry mass,5.2
Thuja occidentalis,Stem nitrogen (N) content per dry mass,5.2
Thuja occidentalis,Stem nitrogen (N) content per dry mass,5.2
Thuja occidentalis,Stem nitrogen (N) content per dry mass,5.2
Achillea millefolium,Stem nitrogen (N) content per dry mass,36.2431125
Achillea millefolium,Stem nitrogen (N) content per dry mass,36.97730441
Achillea millefolium,Stem nitrogen (N) content per dry mass,57.6037875
Plantago lanceolata,Stem nitrogen (N) content per dry mass,32.26612501
Plantago lanceolata,Stem nitrogen (N) content per dry mass,34.38351067
Plantago lanceolata,Stem nitrogen (N) content per dry mass,37.91895
Plantago major,Stem nitrogen (N) content per dry mass,30.34016251
Plantago major,Stem nitrogen (N) content per dry mass,36.29518102
Plantago major,Stem nitrogen (N) content per dry mass,39.2946375
Acer negundo,Stem specific density (SSD),0.49
Cornus sericea,Stem specific density (SSD),0.48
Corylus cornuta,Stem specific density (SSD),0.56
Acer negundo,Stem specific density (SSD),0.405614698
Acer negundo,Stem specific density (SSD),0.405614698
Bidens frondosa,Stem specific density (SSD),0.164292683
Bidens frondosa,Stem specific density (SSD),0.164292683
Calystegia sepium,Stem specific density (SSD),0.153380783
Calystegia sepium,Stem specific density (SSD),0.153380783
Circaea lutetiana,Stem specific density (SSD),0.164190012
Circaea lutetiana,Stem specific density (SSD),0.164190012
Circaea lutetiana,Stem specific density (SSD),0.178212291
Circaea lutetiana,Stem specific density (SSD),0.178212291
Elymus repens,Stem specific density (SSD),0.283738318
Elymus repens,Stem specific density (SSD),0.283738318
Elymus repens,Stem specific density (SSD),0.370046083
Elymus repens,Stem specific density (SSD),0.370046083
Elymus repens,Stem specific density (SSD),0.501459854
Elymus repens,Stem specific density (SSD),0.501459854
Fallopia japonica,Stem specific density (SSD),0.120465317
Fallopia japonica,Stem specific density (SSD),0.120465317
Fallopia japonica,Stem specific density (SSD),0.153374759
Fallopia japonica,Stem specific density (SSD),0.153374759
Fallopia japonica,Stem specific density (SSD),0.380248374
Fallopia japonica,Stem specific density (SSD),0.380248374
Glechoma hederacea,Stem specific density (SSD),0.153313253
Glechoma hederacea,Stem specific density (SSD),0.153313253
Helianthus tuberosus,Stem specific density (SSD),0.108281887
Helianthus tuberosus,Stem specific density (SSD),0.108281887
Helianthus tuberosus,Stem specific density (SSD),0.1540852
Helianthus tuberosus,Stem specific density (SSD),0.1540852
Helianthus tuberosus,Stem specific density (SSD),0.239953271
Helianthus tuberosus,Stem specific density (SSD),0.239953271
Lysimachia vulgaris,Stem specific density (SSD),0.195163767
Lysimachia vulgaris,Stem specific density (SSD),0.195163767
Lysimachia vulgaris,Stem specific density (SSD),0.223934618
Lysimachia vulgaris,Stem specific density (SSD),0.223934618
Phalaris arundinacea,Stem specific density (SSD),0.179766141
Phalaris arundinacea,Stem specific density (SSD),0.179766141
Phalaris arundinacea,Stem specific density (SSD),0.18
Phalaris arundinacea,Stem specific density (SSD),0.18
Phalaris arundinacea,Stem specific density (SSD),0.558318099
Phalaris arundinacea,Stem specific density (SSD),0.558318099
Rumex crispus,Stem specific density (SSD),0.35
Rumex crispus,Stem specific density (SSD),0.35
Salix alba,Stem specific density (SSD),0.406177703
Sambucus nigra,Stem specific density (SSD),0.304724409
Sambucus nigra,Stem specific density (SSD),0.304724409
Sambucus nigra,Stem specific density (SSD),0.305110935
Sambucus nigra,Stem specific density (SSD),0.305110935
Solanum dulcamara,Stem specific density (SSD),0.239063761
Solanum dulcamara,Stem specific density (SSD),0.239063761
Tanacetum vulgare,Stem specific density (SSD),0.420392799
Tanacetum vulgare,Stem specific density (SSD),0.420392799
Urtica dioica,Stem specific density (SSD),0.120884354
Urtica dioica,Stem specific density (SSD),0.120884354
Urtica dioica,Stem specific density (SSD),0.144997536
Urtica dioica,Stem specific density (SSD),0.144997536
Urtica dioica,Stem specific density (SSD),0.186683657
Urtica dioica,Stem specific density (SSD),0.186683657
Urtica dioica,Stem specific density (SSD),0.263322185
Urtica dioica,Stem specific density (SSD),0.263322185
Xanthium strumarium,Stem specific density (SSD),0.194220788
Xanthium strumarium,Stem specific density (SSD),0.194220788
Abies balsamea,Stem specific density (SSD),0.41
Acer negundo,Stem specific density (SSD),0.501
Acer pensylvanicum,Stem specific density (SSD),0.44
Acer platanoides,Stem specific density (SSD),0.50799
Acer platanoides,Stem specific density (SSD),0.52521
Acer rubrum,Stem specific density (SSD),0.55
Acer saccharinum,Stem specific density (SSD),0.51
Acer saccharum,Stem specific density (SSD),0.68
Alnus incana,Stem specific density (SSD),0.43911
Betula alleghaniensis,Stem specific density (SSD),0.66
Betula lenta,Stem specific density (SSD),0.71
Betula papyrifera,Stem specific density (SSD),0.6
Betula populifolia,Stem specific density (SSD),0.55
Carpinus caroliniana,Stem specific density (SSD),0.72
